,catharus_ustulatus_Call_1,catharus_ustulatus_Call_2,catharus_ustulatus_Song_1,empidonax_difficilis_Call_1,empidonax_difficilis_Call_2,empidonax_difficilis_Song_1,loxia_curvirostra_Call_1,loxia_curvirostra_Song_1,poecile_rufescens_Call_1,poecile_rufescens_Call_2,poecile_rufescens_Call_3,poecile_rufescens_Call_4,setophaga_occidentalis_Call_1,setophaga_occidentalis_Song_1,troglodytes_pacificus_Call_1,troglodytes_pacificus_Call_2,troglodytes_pacificus_Call_3,troglodytes_pacificus_Song_1
0,3.0564655e-09,1.2263333e-06,5.400709e-09,4.901401e-06,1.3915568e-05,2.555658e-07,3.1747445e-06,3.2562875e-07,1.8529154e-05,1.1917678e-05,1.29607e-07,1.1746288e-06,0.0027909917,6.1887766e-07,1.8705221e-05,1.2864124e-06,7.254191e-07,1.5382504e-10
1,4.595123e-08,8.022728e-05,9.554761e-08,0.00012419552,1.6811011e-05,3.808946e-06,0.00016485075,0.00011479756,0.00027163693,8.8906105e-05,5.7718756e-07,2.9284074e-05,0.0030891162,5.8662714e-05,7.4158794e-05,2.6928153e-06,6.560709e-06,2.9281564e-08
2,3.6725258e-09,1.8094834e-06,1.5675675e-09,3.051215e-05,2.8102986e-06,3.0186095e-07,1.1598815e-06,2.9272863e-07,3.7857976e-06,8.459863e-06,1.3450497e-06,5.580769e-07,0.000937868,3.5772632e-07,1.2126693e-06,3.386894e-08,9.305558e-06,4.715495e-11
3,1.1552247e-07,0.00015064639,7.0026965e-07,0.0032143309,2.8904411e-05,4.7876383e-05,0.00016309712,5.0371855e-05,0.00040729894,0.0011801656,1.0615056e-06,6.2469306e-05,0.004002867,0.00037206052,7.314246e-05,9.827647e-05,1.067006e-05,5.0611757e-06
4,1.9123762e-10,8.688746e-07,1.0561286e-10,2.4866788e-06,1.8611164e-06,8.703893e-08,1.2437247e-06,4.118508e-08,3.1095624e-06,1.7605613e-06,5.8216543e-09,1.4657574e-07,0.0012071226,1.726857e-07,4.210641e-06,1.2375823e-07,1.1045519e-07,1.5802432e-11
5,1.7523282e-08,7.514648e-06,2.2913417e-08,3.225527e-05,1.9253644e-05,1.7513944e-06,1.3533007e-05,8.85728e-06,0.00017159576,0.00013105218,1.3158881e-06,2.518187e-05,0.0059619565,1.0545109e-05,7.4958945e-05,1.0881545e-05,7.3240494e-06,1.307456e-08
6,4.705105e-09,3.4341545e-05,1.30253515e-08,1.5002684e-05,7.1664846e-07,1.755261e-07,0.00018279452,7.8903315e-05,3.7726031e-06,1.0624562e-05,7.0500924e-08,1.8118611e-06,0.0010073545,6.8482075e-07,3.6153638e-06,1.4358191e-07,7.467808e-07,2.141523e-10
7,9.855598e-06,5.471295e-05,8.2904935e-06,4.2892843e-05,0.00027641683,8.52484e-06,0.004379988,0.028204344,0.014105077,0.002782355,6.154769e-05,0.00048020086,0.0073361774,0.00015112491,0.00051641255,0.0001422588,7.409199e-05,4.3531545e-06
8,1.0327132e-09,1.3582312e-06,1.1372919e-09,9.579472e-06,1.0933397e-06,3.4711397e-07,9.1996645e-07,5.797689e-06,1.4145626e-05,7.4162003e-06,2.1909011e-08,2.1707478e-06,0.0016236185,5.7790356e-07,5.320178e-07,5.000466e-08,2.132611e-07,3.6426154e-11
9,1.6348564e-10,2.227735e-07,1.562084e-10,1.1183744e-06,1.7956467e-06,8.15913e-09,7.3808764e-07,2.2708744e-09,5.8440413e-08,4.1621348e-07,9.0357615e-09,8.588894e-09,0.001437478,3.9575716e-09,1.4747986e-06,1.8947835e-08,5.7014063e-08,4.088154e-13
10,3.1438688e-08,1.7131442e-05,2.6022011e-08,7.8075886e-05,4.3538334e-05,2.5986953e-06,1.6953818e-05,2.3242305e-06,7.4276635e-05,3.5530866e-05,1.1314256e-05,1.02316735e-05,0.009497598,3.001217e-06,7.7745935e-05,2.142967e-06,1.4110731e-05,1.42869805e-08
11,5.631735e-09,3.3303634e-06,1.3246505e-08,1.5617701e-05,2.5855884e-06,6.598437e-07,7.0939896e-06,1.0592581e-05,2.0698531e-05,1.6546517e-05,2.5676408e-07,3.8778267e-06,0.0017537352,2.7195263e-06,4.3687046e-06,4.7116453e-07,1.4368015e-06,3.6963613e-10
12,1.2156121e-07,6.550844e-06,3.9357025e-07,0.0003080228,6.0526945e-05,6.529967e-06,1.5676642e-05,6.574821e-06,2.6261147e-05,9.1033704e-05,0.00011615679,2.0885294e-05,0.012195702,0.00010099589,4.0079438e-05,1.2198934e-05,2.3391567e-05,3.6616235e-08
